CONCAT,TIPO,ACOMODAÇÃO,CATEGORIA,CÓDIGO,PLANO, PL C/ DESC, VR. CORRIG,TIT/DEP, CORRIGIDO,,,,,,,,,,,,,,,
5254TITULAR,AMBUL+HOSP.S/PARTO,ENFERMARIA,NOSSO PLANO,5254,"147,55","  143,12 ","  121,11 ",TITULAR,"  186,66 ",,,,,,,,,,,,,,,
5285TITULAR,AMBUL+HOSP.S/PARTO,APARTAMENTO,NOSSO PLANO,5285,"213,95","  207,53 ","  175,60 ",TITULAR,"  270,65 ",,,,,,,,,,,,,,,
5252TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,NOSSO PLANO,5252,"158,68","  153,92 ","  130,24 ",TITULAR,"  200,73 ",,,,,,,,,,,,,,,
9714TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,NOSSO PLANO,9714,"230,1","  223,20 ","  188,86 ",TITULAR,"  291,07 ",,,,,,,,,,,,,,,
5403TITULAR,AMBUL+HOSP.S/PARTO,ENFERMARIA,MIX,5403,"191,82","  186,07 ","  157,44 ",TITULAR,"  242,66 ",,,,,,,,,,,,,,,
5404TITULAR,AMBUL+HOSP.S/PARTO,APARTAMENTO,MIX,5404,"278,15","  269,81 ","  228,29 ",TITULAR,"  351,85 ",,,,,,,,,,,,,,,
5123TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,MIX,5123,"206,29","  200,10 ","  169,32 ",TITULAR,"  260,96 ",,,,,,,,,,,,,,,
9717TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,MIX,9717,"299,15","  290,18 ","  245,53 ",TITULAR,"  378,42 ",,,,,,,,,,,,,,,
5397TITULAR,AMBUL+HOSP.S/PARTO,ENFERMARIA,PLENO,5397,"295,12","  286,27 ","  242,22 ",TITULAR,"  373,32 ",,,,,,,,,,,,,,,
5402TITULAR,AMBUL+HOSP.S/PARTO,APARTAMENTO,PLENO,5402,"427,88","  415,04 ","  351,19 ",TITULAR,"  541,27 ",,,,,,,,,,,,,,,
5127TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,PLENO,5127,"317,37","  307,85 ","  260,49 ",TITULAR,"  401,48 ",,,,,,,,,,,,,,,
5283TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,PLENO,5283,"460,2","  446,39 ","  377,71 ",TITULAR,"  582,14 ",,,,,,,,,,,,,,,
5254DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,NOSSO PLANO,5254,"147,55","  143,12 ","  176,81 ",DEPENDENTE,"  272,50 ",,,,,,,,,,,,,,,
5285DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,NOSSO PLANO,5285,"213,95","  207,53 ","  256,37 ",DEPENDENTE,"  395,12 ",,,,,,,,,,,,,,,
5252DEPENDENTE,AMBUL+HOSP.C/PARTO,ENFERMARIA,NOSSO PLANO,5252,"158,68","  153,92 ","  190,13 ",DEPENDENTE,"  293,04 ",,,,,,,,,,,,,,,
9714DEPENDENTE,AMBUL+HOSP.C/PARTO,APARTAMENTO,NOSSO PLANO,9714,"230,1","  223,20 ","  275,72 ",DEPENDENTE,"  424,95 ",,,,,,,,,,,,,,,
5403DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,MIX,5403,"191,82","  186,07 ","  229,81 ",DEPENDENTE,"  354,20 ",,,,,TIPO DE PLANO,NOSSO PLANO,,MIX,,,,,,,
5404DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,MIX,5404,"278,15","  269,81 ","  333,43 ",DEPENDENTE,"  513,89 ",,,,,,(REDE PRÓPRIA),,(REDE PRÓPRIA + CREDENCIADA),,,,18,"255,41",,
5123DEPENDENTE,AMBUL+HOSP.C/PARTO,ENFERMARIA,MIX,5123,"206,29","  200,10 ","  247,18 ",DEPENDENTE,"  380,96 ",,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,29,19,,
9717DEPENDENTE,AMBUL+HOSP.C/PARTO,APARTAMENTO,MIX,9717,"299,15","  290,18 ","  358,43 ",DEPENDENTE,"  552,43 ",,,,,ATÉ 49 ANOS,"248,84","373,26","394,23","515,32","394,23","515,32",39,,,
5397DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,PLENO,5397,"295,12","  286,27 ","  353,60 ",DEPENDENTE,"  544,98 ",,,,,50 A 64 ANOS,"374,52","561,78","514,65","663,85","332,38","493,62",49,,,
5402DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,PLENO,5402,"427,88","  415,04 ","  512,74 ",DEPENDENTE,"  790,25 ",,,,,65 A 74 ANOS,"458,16","604,41","659,35","876,94",,,59,,,
